case_number,source,prompt,evaluation_seed,coco_id
23836,coco-30k,A man is standing at a table putting a ski boot into a ski while a woman watches him.,46308,488375
23837,coco-30k,"A desk with a laptop, computer monitor, keyboard and a mouse.",6564,562628
23838,coco-30k,A man doing a trick on a skateboard,1373,149962
23839,coco-30k,a person skiing down part of a hill in front of some rocks and trees ,29562,105053
23840,coco-30k,A woman in a wedding dress standing in a field near a corn farm and holding the bridle of a cream colored horse.,72927,263136
23841,coco-30k,A dark night at a market with bananas hanging from a stand.,8237,152360
23842,coco-30k,A brown dog sleeping on several large books.,30760,546792
23843,coco-30k,A guy with a white shirt and jeans riding a skateboard.,73068,408535
23844,coco-30k,the boy has on black sneakers and his trying to grab the frisbee,42710,205324
23845,coco-30k,Two people skiing down a snow covered hillside.,46429,573770
23846,coco-30k,A white and brown dog playing with frisbee in the field,41932,498657
23847,coco-30k,Two horses in a field next to a fence.,44872,269026
23848,coco-30k,The scene is three large racks of skis on a mountain.,2908,50482
23849,coco-30k,A corgi dog running on a lawn to catch a Frisbee,89629,427986
23850,coco-30k,The zebra is wondering about the shadow that he sees.,78696,426297
23851,coco-30k,a person standing next to a person getting ready to catch a ball,6376,512776
23852,coco-30k,The healthy food is ready to be eaten. ,58052,161807
23853,coco-30k,A brown dog standing on top of a bed,40717,550713
23854,coco-30k,Two young boys playing disc golf in a grassy area. ,20979,378347
23855,coco-30k,A group of people playing frisbee against each other.,22633,190950
23856,coco-30k,A young girl prepares to throw a disc through a hoop while other watch in a gym.,36949,576045
23857,coco-30k,See-through Boy skateboards over orange partition at dusk,11038,88455
23858,coco-30k,Boy running around bases with boy looking other way ,6942,58006
23859,coco-30k,A man in a yellow and black ski suit skiing down a mountain.,64982,313166
23860,coco-30k,a person is skiing and flipping on a mountain,74297,203641
23861,coco-30k,Sliced apple in a bowl covered in cinnamon.,13595,19916
23862,coco-30k,Two people in yellow vests and helmets riding horses.,5454,156232
23863,coco-30k,The young girl is learning to ride her skateboard outside. ,89325,324962
23864,coco-30k,a little child on little bitty skis in the snow,13424,33044
23865,coco-30k,A billboard of two Zebras on a snowy mountain and a parking lot.,32839,207860
23866,coco-30k,a snow skier doing a high jump into the air,85006,416072
23867,coco-30k,A baseball player holding a bat near a base.,95499,443169
23868,coco-30k,A boy doing a trick on a skateboard off a ramp.,59215,44627
23869,coco-30k,At least three zebras are standing together affectionately.,50421,579402
23870,coco-30k,A horse drawn carriage is near a fire hydrant by a curb.,12117,381971
23871,coco-30k,A white horse walking in the grass near trees.,46295,570695
23872,coco-30k,A skateboarder is doing a trick on cement steps.,25931,407067
23873,coco-30k,The person is riding their snowboard down the hill.,81943,171622
23874,coco-30k,A plate full of doughnuts and bananas in the background.,27673,135460
23875,coco-30k,a dog is getting petted in front of a book case,84636,74001
23876,coco-30k,The man in the helmet is skateboarding on a walkway.,79118,451951
23877,coco-30k,a man on skis stands on a snowy hill side ,84141,424551
23878,coco-30k,Four guys with skate boards sitting on a park bench.,15118,460461
23879,coco-30k,a herd of zebras sniff around a caged area ,52158,499716
23880,coco-30k,Two men playing a game of frisbee on top of a green field.,39888,26507
23881,coco-30k,A plate that has different types of food on a table.,44165,239808
23882,coco-30k,A bunch of vegetables that are in the ground.,81477,382333
23883,coco-30k,A group of men standing on top of a baseball field playing a game of baseball.,17663,575465
23884,coco-30k,a white horse sniffing the hand of a person in front of them ,31352,499672
23885,coco-30k,A man flying into the air on top of a skateboard ramp.,25672,362005
23886,coco-30k,A pile of oranges in crates topped with yellow bananas.,31632,715
23887,coco-30k,Several girls are playing with a frisbee while others watch.,44537,431952
23888,coco-30k,A beautiful woman riding on the back of a white horse.,14458,533283
23889,coco-30k,A black dog laying on top of a puddle of mud.,36731,246512
23890,coco-30k,A banana peal on a piece of board.,49426,248678
23891,coco-30k,Two baseball players standing on the field during a game. ,22138,132931
23892,coco-30k,An otter investigates two frisbees that are near it.,30571,313398
23893,coco-30k,Three adult zebra are walking through the dirt path.,34950,479762
23894,coco-30k,Zebra standing by itself in an open field by a tree. ,56091,315905
23895,coco-30k,so many oranges and ripe ones with price labels,83231,526486
23896,coco-30k,A white polar bear standing on top of a rocky mountain.,14777,459575
23897,coco-30k,Wood shading on the side of a window with brick siding. ,16589,214367
23898,coco-30k,a large leafy plant coming up out of the soil,82139,247764
23899,coco-30k,A zebra in a zoo pin looking down at the ground.,9442,133750
23900,coco-30k,vendors standing at fruit stands at outdoor market.,58541,402922
23901,coco-30k,A man getting ready to throw a Frisbee on a field.,74859,423104
23902,coco-30k,A group of people standing on top of a snow covered slope.,55780,117286
23903,coco-30k,A man riding a horse in front of a fence.,72705,21900
23904,coco-30k,A man standing on a board in a body of water.,32839,302767
23905,coco-30k,Person wearing helmet and sunglasses sitting on a stationary horse.,97740,523274
23906,coco-30k,a boy skating very high on the walking steps,65493,120544
23907,coco-30k,"A table with sandwiches, chili, french fries, and a drink.",25133,558854
23908,coco-30k,a man on a skating board jumping very high,80537,74166
23909,coco-30k,A zebra standing in the grass next to a tree.,75758,77479
23910,coco-30k,"A meat wrapped, pineapple and banana on a table",84183,321973
23911,coco-30k,A white plate topped with lots of chinese food.,22355,457717
23912,coco-30k,A man riding skis down a snow covered mountain.,40910,199149
23913,coco-30k,Two horses grazing in a field with trees in the background,14665,510877
23914,coco-30k,A sandwich filled with meat with a knife sticking out of it.,88561,89549
23915,coco-30k,Two younger people playing a game of frisbee.,28028,289423
23916,coco-30k,Three guys stand with their skateboards and there is a logo at the bottom.,87359,331250
23917,coco-30k,Some asian cuisine is shown with vegetables and noodles.,26009,202944
23918,coco-30k,A brown horse poses on a very green grassy field.,77516,23033
23919,coco-30k,A man standing on a sidewalk behind a cart of carrots.,22866,394033
23920,coco-30k,A group of young men standing on top of a lush green field.,12575,151781
23921,coco-30k,many kids holding skating board on the snow,61788,267123
23922,coco-30k,A man flying through the air on a snow covered slope.,58435,484722
23923,coco-30k,A dog laying on top of a bed in front of a red book.,50858,108315
23924,coco-30k,A dog holding a yellow frisbee in it's mouth.,10542,2753
23925,coco-30k,A white plate topped with broccoli and a dumpling.,96156,15278
23926,coco-30k,The snowboarders are posing for a picture on the slope.,52056,267709
23927,coco-30k,A group of people riding skis across a snow covered slope.,62834,295124
23928,coco-30k,"Several zebras on a plain, grazing and congregating.",13889,396317
23929,coco-30k,Two horses plowing the land as a man directs them,95641,560880
23930,coco-30k,some people playing with a frisbee in the park,36799,297970
23931,coco-30k,A plate of broccoli and meat on a table ,39340,256899
23932,coco-30k,a couple of people that are standing on a baseball diamond,73019,555131
23933,coco-30k,A person riding skis along a snow covered road.,80623,338678
23934,coco-30k,A man riding skis down the side of a snow covered slope.,68987,432488
23935,coco-30k,A container filled with broccoli and cheese and a spoon.,32987,52746
23936,coco-30k,A man who is holding a skateboard next to some ramps.,21777,305423
23937,coco-30k,A person is snow skiing next to a tree.,81439,328284
23938,coco-30k,a man that is standing on a snowy field,5355,204049
23939,coco-30k,A photo of a man standing on snow skis and holding snow skis,73228,199387
23940,coco-30k,Some guys playing with a disc in a grassy field.,45980,277383
23941,coco-30k,A guy playing with a disc on the beach.,98646,518182
23942,coco-30k,A big market with bins full of piles of produce.,73394,500473
23943,coco-30k,A couple of people riding skateboards on a sidewalk.,63350,178807
23944,coco-30k,A man attempts to ski in the few inches of snow left on the ground.,38177,206036
23945,coco-30k,"Close up of a brown horse looking into the camera, with a green field and mountain scenic as a backdrop.",90448,383293
23946,coco-30k,Skier with skiis and poles posing for picture.,53562,348251
23947,coco-30k,A professional rider is riding a horse outside,16870,441442
23948,coco-30k,Two people riding a ski lift with snowboards on their feet. ,16263,368459
23949,coco-30k,A sandwich with meat next to a pickle and a cup of potatoes. ,93923,360902
23950,coco-30k,A group of zebra's playing and grazing in a field.,48915,215245
23951,coco-30k,A dog with a longing look as it sits by a window.,70488,250022
23952,coco-30k,a couple of dogs stand on a beach next to some water ,27770,432752
23953,coco-30k,A man in a blue coat skiing through a snowy field. ,42397,266409
23954,coco-30k,A catcher crouching at the plate in a baseball game.,52793,472282
23955,coco-30k,Two big plates filled with some tasty looking food.,78707,83217
23956,coco-30k,Some very cute zebras in a grassy field.,52341,148358
23957,coco-30k,A very big group of skiers on a big snowy hill.,76584,534565
23958,coco-30k,A kid on a skate board at the top of a ramp.,62133,478723
23959,coco-30k,A man on a snowboard grinding a rail. ,85009,224368
23960,coco-30k,The young man is practicing his tricks on his skateboard. ,75694,113989
23961,coco-30k,The people are preparing to go skiing in the snowy forest,91392,276840
23962,coco-30k,The people are moving across the snowy mountainside. ,80356,292618
23963,coco-30k,A young man skateboarding while listening to music. ,33124,94619
23964,coco-30k,A young man doing tricks with his frisbee. ,54262,143554
23965,coco-30k,A large brown bear standing next to a large river.,42724,114419
23966,coco-30k,A couple of zebra standing on top of a grass covered field.,75728,64865
23967,coco-30k,A woman sitting at a table in front of bunches of bananas and grapes.,53007,455746
23968,coco-30k,a man is flipping a skateboard in the air outside,33640,514366
23969,coco-30k,The two cats are laying beside of the computer on the keyboard.,29869,333772
23970,coco-30k,A cut in half sandwich sitting next to a pile of fries.,22164,41923
23971,coco-30k,A person riding a skateboard down a road.,20274,330835
23972,coco-30k,large dog retrieving the frisbee for his owner,26394,161144
23973,coco-30k,A group of orange slices sitting on top of a table.,70309,138227
23974,coco-30k,A herd of zebra standing next to two giraffe on a lush green field.,92487,134194
23975,coco-30k,Water reflects in the panels of a building as a skateboarder rides on the boardwalk.,29682,275496
23976,coco-30k,A man riding on the back of a brown horse.,83757,79380
23977,coco-30k, a man with a hat skiing on the snow towards a building,74773,493544
23978,coco-30k,A man riding a snowboard on top of a snow covered slope.,72232,473299
23979,coco-30k,A group of zebra standing on top of a dry grass field.,62471,398005
23980,coco-30k,a dried out tree with fruit hanging on it,38288,108243
23981,coco-30k,A bunch of bananas sit next to a cup of coffee.,85910,515126
23982,coco-30k,A big dog is resting halfway out of the window.,35083,282155
23983,coco-30k,a large horse is pulling a cart with a person in it,4942,497145
23984,coco-30k,An adult and child zebra that are standing together in a field.,89789,88109
23985,coco-30k,A boy does a skateboard trick in front of street art.,38165,103697
23986,coco-30k,A man sitting on grass covered ground holding a frisbee.,40141,509471
23987,coco-30k,A bunch of red apples next to a few oranges.,4652,177449
23988,coco-30k,A plate holds dinner including green beans and potatoes.,23715,318386
23989,coco-30k,A man smiling in front of a white cake. ,26971,349414
23990,coco-30k,Three brown bears walking and standing near a snowy mountain. ,24955,125412
23991,coco-30k,A dog with white and black hair catching a frisbee,72547,200870
23992,coco-30k,Three zebras in a field of dry brush.,8113,253693
23993,coco-30k,A close up of a hamster in its cage.,76741,571497
23994,coco-30k,The man is skiing down the mountainside. ,14863,441218
23995,coco-30k,A wooden wagon with wheels topped with bunches of bananas.,91972,480275
23996,coco-30k,A young man standing next to a skateboard.,40863,46329
23997,coco-30k,A man unloading a basket filled with lots of oranges.,23792,469235
23998,coco-30k,A person with some skis in the snow.,85897,545288
23999,coco-30k,A couple of knives on top of a table.,23712,527575
24000,coco-30k,Several people dressed as knights on horses in a courtyard.,12292,16574
24001,coco-30k,A person sitting at a table with a carrot.,78470,99067
24002,coco-30k,A man flying through the air while riding a skateboard.,68323,474054
24003,coco-30k,Two zebra walking down a small rural road.,89296,263014
24004,coco-30k,A woman standing inside of a farmers market.,11614,464265
24005,coco-30k,A young boy riding a skateboard and wearing a helmet.,43089,391862
24006,coco-30k,A man riding a snowboard off the side of a ramp.,17441,24106
24007,coco-30k,a man holding onto a some wires while skiin ,83018,196442
24008,coco-30k,A sliced cake on a dining table with a knife next to it,12701,160860
24009,coco-30k,Apple in and over-flowing a bowl on a windowsill with a rose in a vase.,47793,3742
24010,coco-30k,A man holding a white frisbee while standing on a field.,7183,114352
24011,coco-30k,"A man riding a skateboard on a cement rail, then on the side of a pipe wall.",32968,456521
24012,coco-30k,A group of people riding skateboards across a walkway.,18871,385196
24013,coco-30k,A young man riding a skateboard into the air.,51387,153976
24014,coco-30k,A man sitting at a table holding an orange plate.,57870,289640
24015,coco-30k,A smothered fish dinner with wholesome vegetables ,64143,104906
24016,coco-30k,two people holding skis walking up a ski slope,94315,437262
24017,coco-30k,A group of children playing baseball out side.,28238,147980
24018,coco-30k,A half eaten donut on one plate a missing piece of cake on another plate.,2539,205222
24019,coco-30k,A man is taking a picture in a rear view mirror.,84774,77689
24020,coco-30k,A piece of cooked broccoli is on some cheese.,31306,478981
24021,coco-30k,A man is off the ground catching a frisbee.,29772,137577
24022,coco-30k,A group of boys are running around playing little league.,87582,427160
24023,coco-30k,A polar bear is walking on snow and has one paw up in the air.,35289,183359
24024,coco-30k,A zebra in a shed with a container next to it,62296,565691
24025,coco-30k,there are a few kids on snowboards on the snow,94936,371241
24026,coco-30k,a basket with a few things of fruit in it,23651,79992
24027,coco-30k,a lady that is on some skies on some snow,23115,41638
24028,coco-30k,a big bowl of different kinds of fruit inside,44135,215901
24029,coco-30k,The bananas on the tree are not ready to be picked. ,32532,136141
24030,coco-30k,These two people are on the beach fishing with their dog. ,38141,504697
24031,coco-30k,a lady that is on some skies on some snow,77685,430377
24032,coco-30k,a person that is jumping his skateboard doing a trick,22574,310796
24033,coco-30k,a big plate that has some fruit on top of it,75623,346752
24034,coco-30k,a person cutting a pink cake with pink roses,35487,209548
24035,coco-30k,A plate that has different types of food on it.,68893,298172
24036,coco-30k,Three dogs are sitting looking outside of a window,74921,147787
24037,coco-30k,a horse and buggy that is on a grassy field,82908,515303
24038,coco-30k,A group of people that are standing in the snow.,99198,509014
24039,coco-30k,a square plate that has some food on it,69867,280687
24040,coco-30k,A man that is on a board in the water.,78964,275448
24041,coco-30k,Two dogs sleeping on a small dog bed. The bed has many toys on it.,77027,354126
24042,coco-30k,a plate of food with vegetable and meat ,72186,197597
24043,coco-30k,A bunch of cooking supplies and bananas sitting on a counter.,10064,266932
24044,coco-30k,Two boys with glove and helmet playing baseball,76047,15032
24045,coco-30k,A boy is riding a skateboard on a wall.,70230,172649
24046,coco-30k,A pair of fathers and sons playing outdoors in the daytime.,65514,390052
24047,coco-30k,a person jumping over a ramp in the water ,82200,213827
24048,coco-30k,A plate that has a bowl and different types of food.,94187,351319
24049,coco-30k,Three people are standing on skis on the top of a hill.,57278,292649
24050,coco-30k,"A pile of tomatoes, carrots, squash, lettuce and spinach.",39804,433705
24051,coco-30k,A person skiing down a snowy mountain side.,18252,548090
24052,coco-30k,a man skating in a skate park with a large crowd watchin him ,90531,381527
24053,coco-30k,Professional baseball game with bat swung and ball in the air.,86014,466840
24054,coco-30k,A person riding skis across snow covered ground.,75814,472295
24055,coco-30k,A woman touching a plastic container sitting on a table.,24968,465806
24056,coco-30k,Two baseball players and an umpire on a baseball field. ,28739,286313
24057,coco-30k,many skis lined up on a mountain waiting for people to put them on,97354,444899
24058,coco-30k,A group of three men standing next to each other on a baseball field.,22413,554328
24059,coco-30k,A beautiful woman with blue eyes holding a banana.,28472,251508
24060,coco-30k,A woman standing while holding a pole on snow,45317,52591
24061,coco-30k,A zebra standing on top of a grass covered field,13579,228858
24062,coco-30k,a horse is pulling a carriage with people down a street,67065,427655
24063,coco-30k,A white plate topped with four donuts covered in frosting.,17430,162827
24064,coco-30k,A group of men standing next to brown horses.,86040,272311
24065,coco-30k,Small brown bears by a large log in their zoo enclosure,58848,168562
24066,coco-30k,A brown dog standing next to a black dog as they fight over a frisbee.,41700,494480
24067,coco-30k,A couple of pretty young ladies holding kittens.,42214,361217
24068,coco-30k,A man holding up a yellow frisbee while smiling.,38068,29444
24069,coco-30k,Looking down at a cheese and broccoli pizza on the stovetop,94309,522703
24070,coco-30k,A couple of people riding a pair of skis down a snow covered slope.,70145,86755
24071,coco-30k,A group of horses pulling a man on a cart.,23393,412304
24072,coco-30k,A couple of dogs sitting in front of a metal structure.,86751,244215
24073,coco-30k,a couple of zebras stand next to some horses ,53431,485865
24074,coco-30k,The zebras are following the cars for food. ,38127,264268
24075,coco-30k,A table with many pieces of cut up broccoli.,83366,364973
24076,coco-30k,A young person on skis lies in the snow,22312,544456
24077,coco-30k,a pizza cut into slices on a plate,82,36508
24078,coco-30k,A pitcher winds up to throw a ball.,73066,297314
24079,coco-30k,a man riding a bull through part of  a parking lot ,72789,440329
24080,coco-30k,some zebras dirt tall brown grass bushes and trees,40030,48143
24081,coco-30k,Two young kids holding a frisbee while seated on a bed,18697,233223
24082,coco-30k,A man and a woman cross country skiing on a snow covered trail with mountain peaks in the background.,86023,50159
24083,coco-30k,Different views of a man who is skateboarding.,93905,150649
24084,coco-30k,some people on skis ride on the snow ,62906,57224
24085,coco-30k,a couple of people on skis ride on the snow ,81978,339346
24086,coco-30k,a couple of people on skis sit on top of a snowy hill ,47971,451144
24087,coco-30k,There is a group of zebras all standing together.,31408,489475
24088,coco-30k,A piece of chocolate cake on a plate.,56440,13597
24089,coco-30k,A person on some skis in the snow.,81664,20570
24090,coco-30k,A person on a skateboard up in the air.,38610,147101
24091,coco-30k,a line of kids that are in baseball uniforms,76876,151441
24092,coco-30k,A very young boy on snow ski's holding a flag.,36815,113233
24093,coco-30k,A skier that has just made a jump in the snow.,56470,559948
24094,coco-30k,"Several root vegetables, garlic, ginger and chicken broth.",94625,441541
24095,coco-30k,A man is holding a flying disk over his face.,28689,260525
24096,coco-30k,THERE IS A GOAT STANDING IN THE YARD ,46705,167993
24097,coco-30k,Two skiers are traveling down a snowy mountain.,94116,481670
24098,coco-30k,Lunch of rice and beans with soup and juice.,16279,511241
24099,coco-30k,a trey with a bunch of vegetables on it ,44109,242368
24100,coco-30k,a male skateboarder in a white shirt doing a trick,99750,437332
24101,coco-30k,A person sitting at a table with bagels and a donut.,4736,8711
24102,coco-30k,looking out a window from inside the ski lodge,78354,178413
24103,coco-30k,A horse with a blanket on it eating hay.,77254,540652
24104,coco-30k,half of a birthday cake with an angel decoration on the top of it ,4816,107020
24105,coco-30k,A man riding a horse up the side of a tree.,85501,80470
24106,coco-30k,A group of people standing on top of a snow covered ski slope.,98872,166424
24107,coco-30k,A baby brown bear standing on top of a rock.,52353,375015
24108,coco-30k,A couple of young men playing a game of frisbee.,98848,488697
24109,coco-30k,A group of people walking down a street near a river.,84477,249277
24110,coco-30k,A woman standing next to a group of horses on a field.,96153,348474
24111,coco-30k,A couple of people riding on the backs of horses.,6835,373119
24112,coco-30k,A pile of green yellowish banana sitting in a basket.,72570,240273
24113,coco-30k,A young boy standing next to a pile of green things.,83231,558457
24114,coco-30k,A large truck filled with lots of green bananas.,85182,508087
24115,coco-30k,A couple of brown horses standing on top of a dirt hill.,40825,26386
24116,coco-30k,Two zebra standing next to each other on a field.,60753,43165
24117,coco-30k,A brown bear walking across a forest surrounded by trees..,15288,547519
24118,coco-30k,A couple of horses standing in a river next to an island.,3045,359838
24119,coco-30k,A young woman holding a white frisbee in her hands.,62705,575719
24120,coco-30k,A baseball player pitching a baseball on a field.,31056,516038
24121,coco-30k,A group of men skiing across snow covered ground.,48397,248445
24122,coco-30k,A large brown bear walking across a field.,94725,219174
24123,coco-30k,A man tossing a white frisbee on a lush green field.,10323,345154
24124,coco-30k,a small pony a with two smaller ponies standing in front of it,57738,546823
24125,coco-30k,A person riding a skateboard on the side of an empty pool.,17346,187822
24126,coco-30k,A bowl filled with lots of vegetables and rice.,99976,471342
24127,coco-30k,A field full of green plants and fruit.,80237,352901
24128,coco-30k,A young boy riding a skateboard across a parking lot.,50404,106912
24129,coco-30k,A couple of zebra standing on top of a lush green field.,20281,187434
24130,coco-30k,A famers market filled with lots of fresh produce.,53737,330449
24131,coco-30k,A couple of brown horses standing on a grass covered field.,61353,75611
24132,coco-30k,A zebra laying on it's side on a grass covered ground.,84829,451263
24133,coco-30k,a female wearing short shorts and cutting a cake with a knife,29639,559454
24134,coco-30k,Several people riding on jet skis in the water. ,62342,221616
24135,coco-30k,A blue and white plate topped with Chinese food.,19630,440724
24136,coco-30k,A person riding skis down a snow covered slope.,762,30719
24137,coco-30k,A case filled with different colored Frisbee on top of a table.,68482,314396
24138,coco-30k,A spoon filled with peanut butter on top of a banana.,94754,103490
24139,coco-30k,A person skiing down a snowy mountain side. ,47403,181873
24140,coco-30k,This person is riding their horse near the water. ,43804,117432
24141,coco-30k,A trio of zebra's leaned over eating hay on the ground.,29719,68933
24142,coco-30k,A bowl of chicken and vegetables is shown.,54091,40881
24143,coco-30k,Lunch with salad and dressing with pita bread.,84097,347216
24144,coco-30k,A yellow banana sitting on top of a cutting board.,81062,47807
24145,coco-30k,A man riding a skateboard into the air.,31203,394246
24146,coco-30k,A glass jar of fruit on a decorative table mat.,38711,475413
24147,coco-30k,A pair of zebra's eating grass on a field with flamingos in the background.,32759,23954
24148,coco-30k,A woman carrying two skis and a couple of poles.,5638,1563
24149,coco-30k,A zebra walking next to an alligator next to a pile of rocks..,17107,490749
24150,coco-30k,"Two people with snow gear on, carrying equipment.",60673,54592
24151,coco-30k,Vintage picture of a man and a horse on the farm.,80306,407057
24152,coco-30k,a male wearing a blue jacket sliding down snow on a snowboard,54059,336602
24153,coco-30k,A person is doing a high jump on some skis.,9216,408208
24154,coco-30k,Two people riding on horses at the beach,34505,468063
24155,coco-30k,A baseball player has swung his bat during a game. ,72762,106331
24156,coco-30k,a small cup of oats revolution oatmeal with apples,41360,516641
24157,coco-30k,Man on a skateboard riding a cement wall.,8103,447733
24158,coco-30k,A view of the back of a horses head following another horse.,69707,229158
24159,coco-30k,A man plowing a field with work horses.,64292,467854
24160,coco-30k,Three zebras standing around looking while in the grass. ,83330,272188
24161,coco-30k,a outside produce market with different fruit and vegetables,55607,549635
24162,coco-30k,white snowy mountain with a man stand in skies with a yellow jacket and red black pants ,52670,562101
24163,coco-30k,A zebra looking up as another grazes in a field.,23840,6688
24164,coco-30k,several horses are standing together on a beach,81232,579759
24165,coco-30k,A white plate full of food with meat and veggies. ,9282,121210
24166,coco-30k,A pot full of vegetables and ready to be cooked. ,80924,393838
24167,coco-30k,A bear with a flat head stands in an enclosure. ,9359,75090
24168,coco-30k,A cowgirl rounding up a steer in a competition. ,48154,140542
24169,coco-30k,A horse and a dog inside a fenced in field of grass.,1201,519728
24170,coco-30k,A man riding on the back of a brown horse.,2393,23034
24171,coco-30k,A pile of different types of vegetables on a table.,53323,528738
24172,coco-30k,A man riding a skateboard outside of a building.,81379,94002
24173,coco-30k,A group of young men standing on top of a soccer field.,65551,468632
24174,coco-30k,A pair of zebra's looking on at the camera in a pin.,97362,210448
24175,coco-30k,A bowl filled with granola and banana slices.,86499,60126
24176,coco-30k,A group of three zebras standing in a grassy area.,98684,377231
24177,coco-30k,A large brown bear standing next to a pile of rocks.,94488,513484
24178,coco-30k,Baked dessert item with fruit served on plate alongside beverage.,11840,434513
24179,coco-30k,A person skiing alone on snow covered mountain,93269,166358
24180,coco-30k,A woman holds a little girl who stands on top of a skateboard. ,10019,426878
24181,coco-30k,Some delicious noodles are being cooked on a pan. ,87674,45728
24182,coco-30k,A bunch of skiers on snow are standing around.,94511,253474
24183,coco-30k,An adult and juvenile zebra standing next to each other in a grassy area.,14857,176592
24184,coco-30k,Belgium waffle loaded with bananas topped with powdered sugar with syrup and more fruit as a garnish.,10141,479448
24185,coco-30k,A piece of chocolate swirled cake on a plate.,26917,15155
24186,coco-30k,an orange tree with fresh fruit growing from it,6605,410493
24187,coco-30k,a man is out in the snow with skis,37510,564355
24188,coco-30k,Zebras crane their necks as they stand in a group in the desert.,52715,507668
24189,coco-30k,A plate with cabbage and carrots with a shadow of a V on it.,4978,66632
24190,coco-30k,A wooden table surface with many types of food.,82667,264540
24191,coco-30k,A man who is riding on a skateboard.,32008,341164
24192,coco-30k,A plate of colorful vegetables and a cut of meat.,85842,51594
24193,coco-30k,There is a man holding a frisbee indoors.,64056,310725
24194,coco-30k,The zebra stands eating from tall brown grass.,98321,430590
24195,coco-30k,A large group of zebra standing in a dirt field.,17218,354303
24196,coco-30k,Groups of people moving down road on skis,46357,62566
24197,coco-30k,A horse that is standing in front of a window.,70959,264855
24198,coco-30k,A huge plate of yummy food with fork to eat. ,99741,174123
24199,coco-30k,a table set for three with food and wine,94599,297233
24200,coco-30k,two big sea crabs some greens and noodles and two drinks,22715,91883
24201,coco-30k,The wake boarder surfs through the waves on a cloudy day.,1692,30049
24202,coco-30k,There are people with skis standing around the snow.,47033,323423
24203,coco-30k,A rear view of a snow boarder and a skier going down a snowy mountain.  ,27709,479683
24204,coco-30k,"A cheesy pizza, topped with chicken and vegetables.  ",97610,138057
24205,coco-30k,A big brown dog looking out a pretty glass door.,80020,214306
24206,coco-30k,A couple of people with some skis in the snow.,22489,273715
24207,coco-30k,Some people playing with a disc in a big grassy field.,78172,436323
24208,coco-30k,A man who is holding a Frisbee in his hand.,16989,108327
24209,coco-30k,Three men sitting on a ski lift at ski resort.,3046,415135
24210,coco-30k,Skiers going down a mountain and riding on the lift.,72681,134760
24211,coco-30k,a man jumping skis at a ski area,91202,249786
24212,coco-30k,a plate full of rice and vegetables on top,29153,444626
24213,coco-30k,A man on a bed with a couple of dogs.,59361,75768
24214,coco-30k,A man on a snowboard that is in the snow.,62131,310998
24215,coco-30k,A zebra rolling around on it's back in a  field.,25614,406001
24216,coco-30k,A pile of fresh produce sitting inside of a container.,15673,446265
24217,coco-30k,A person on a skateboard on the street.,42868,490952
24218,coco-30k,A person on a surfboard in the water.,29630,42190
24219,coco-30k,"A woman in a wheelchair on the beach, with a man and a dog standing beside her.",53511,252745
24220,coco-30k,A woman slashing down a snowy hill on skis.,23470,493442
24221,coco-30k,a close up of a plate of food with broccoli ,29456,433044
24222,coco-30k,A skillet contains diced meat and mixed vegetables.,44917,29640
24223,coco-30k,A bear with its mouth open and swiping a paw at another bear.,57015,414819
24224,coco-30k,A couple of people riding on a horse in the water.,14556,228071
24225,coco-30k,A plate topped with baby carrots and beans next to a  peeler.,82467,7991
24226,coco-30k,A man riding on the back of a brown horse.,98041,326058
24227,coco-30k,A group of little leaguers sitting on top of a bench.,34942,35049
24228,coco-30k,A person on a horse jumping over a rail.,4931,485413
24229,coco-30k,The fur on this dog is long enough to cover his eyes.,6706,163777
24230,coco-30k,A group of cops riding on the backs of motorcycles.,40772,208450
24231,coco-30k,A group of men on a field playing baseball.,33373,561336
24232,coco-30k,A brown horse standing on the side of a road.,22070,462329
24233,coco-30k,A horse rolling around on it's back in a green park.,61232,336949
24234,coco-30k,A platter topped with sliced vegetables with ranch dip in the center.,82280,323515
24235,coco-30k,A zebra standing next to a baby zebra as it feeds.,84428,486964
24236,coco-30k,a couple of people making their way through the snow ,98188,223327
24237,coco-30k,A man riding skis down a snow covered slope.,58867,539636
24238,coco-30k,a black animal in water looking up with teeth out,44770,501039
24239,coco-30k,A couple of men on a field playing baseball.,18474,41572
24240,coco-30k,A display in a grocery store filled with broccoli and peppers.,99882,94666
24241,coco-30k,A man riding a skateboard on top of a ramp.,73821,341910
24242,coco-30k,A man holding two ski poles and two skis.,50237,459301
24243,coco-30k,A horse wearing a protective cover stands in a grassy field. ,71550,382172
24244,coco-30k,A baseball player pitching a ball on top of a field.,59959,397352
24245,coco-30k,A baseball player wearing a catchers mitt on a field.,77219,207019
24246,coco-30k,A young girl sitting on top of a skateboard.,96695,250506
24247,coco-30k,A woman riding skis on a snow covered slope.,30041,363126
24248,coco-30k,A horse drawn carriage traveling down a street.,84690,495786
24249,coco-30k,A young boy swinging a baseball bat towards  a ball.,43130,424147
24250,coco-30k,A couple of horses standing next to each other.,16110,370798
24251,coco-30k,A group of people standing on the side of a beach.,30960,150989
24252,coco-30k,A woman tossing a frisbee while wearing a bikini top.,63589,457249
24253,coco-30k,a man doing a jump in a swimming pool with his skateboard,61006,214961
24254,coco-30k,A man riding skis down a snow covered slope.,36154,60125
24255,coco-30k,A metal pan filled with lots of veggies in broth.,22834,498368
